date,time,site,survey,kelp_pile_num,dominant_species,kelp_L_m,kelp_W_m,kelp_D_m,ellipse_A_m2,sarg_L_1,sarg_W_1,sarg_1_A,sarg_L_2,sarg_W_2,sarg_2_A,sarg_L_3,sarg_W_3,sarg_3_A,sarg_L_4,sarg_W_4,sarg_4_A,sarg_total,ratio,percent
9/14/22,1:34 PM,Bachelor_Beach ,Invasive_wrack,15,M. Pyrifera,1.3,0.47,0.22,0.08,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,1,M. Pyrifera,4.56,2.8,0.63,1.39,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,2,M. Pyrifera,4.99,0.82,0.3,0.19,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,3,M. Pyrifera,5.67,2,0.56,0.88,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,4,M. Pyrifera,4.26,2.4,0.5,0.94,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,5,M. Pyrifera,2.14,0.62,0.4,0.19,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,6,M. Pyrifera,7.71,2.51,0.38,0.75,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,7,M. Pyrifera,1.88,0.48,0.16,0.06,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,8,M. Pyrifera,2.66,1.11,0.58,0.51,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,9,M. Pyrifera,2.09,0.56,0.41,0.18,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,10,M. Pyrifera,1.73,0.94,0.22,0.16,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,11,M. Pyrifera,4.17,3.44,0.09,0.24,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,12,M. Pyrifera,3.81,2.38,0.19,0.36,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,13,M. Pyrifera,2.98,2.25,0.62,1.1,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,14,E. menziesii,2.26,0.69,0.12,0.07,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9/14/22,3:10 PM,Cosign ,Invasive_wrack,15,M. Pyrifera,2.84,0.52,0.29,0.12,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
